Program,Compiler,CompileTime(s)
program_10_constant.c,gcc,.069942868
program_10_constant.c,clang,.103922099
program_10_constant.c,tcc,.008079693
program_10_exponential.c,gcc,.054663663
program_10_exponential.c,clang,.105522553
program_10_exponential.c,tcc,.008040803
program_10_quadratic.c,gcc,.059045084
program_10_quadratic.c,clang,.107942096
program_10_quadratic.c,tcc,.007816559
program_1_constant.c,gcc,.055079571
program_1_constant.c,clang,.099770939
program_1_constant.c,tcc,.008038891
program_1_linear.c,gcc,.052984512
program_1_linear.c,clang,.103152334
program_1_linear.c,tcc,.007992458
program_2_constant.c,gcc,.056569279
program_2_constant.c,clang,.105786386
program_2_constant.c,tcc,.008088621
program_2_exponential.c,gcc,.063282541
program_2_exponential.c,clang,.104596063
program_2_exponential.c,tcc,.008398120
program_2_quadratic.c,gcc,.053699193
program_2_quadratic.c,clang,.102050728
program_2_quadratic.c,tcc,.008860705
program_3_exponential.c,gcc,.055544380
program_3_exponential.c,clang,.102762430
program_3_exponential.c,tcc,.008086164
program_4_constant.c,gcc,.053593927
program_4_constant.c,clang,.100456020
program_4_constant.c,tcc,.007881099
program_4_exponential.c,gcc,.055111987
program_4_exponential.c,clang,.099114047
program_4_exponential.c,tcc,.007261922
program_4_linear.c,gcc,.055472629
program_4_linear.c,clang,.102269102
program_4_linear.c,tcc,.008164518
program_5_exponential.c,gcc,.055569507
program_5_exponential.c,clang,.102638015
program_5_exponential.c,tcc,.008104745
program_5_linear.c,gcc,.053869212
program_5_linear.c,clang,.099768134
program_5_linear.c,tcc,.008009616
program_5_quadratic.c,gcc,.056386857
program_5_quadratic.c,clang,.101790257
program_5_quadratic.c,tcc,.007799536
program_6_constant.c,gcc,.054755861
program_6_constant.c,clang,.099101861
program_6_constant.c,tcc,.007386961
program_6_exponential.c,gcc,.050031880
program_6_exponential.c,clang,.085506526
program_6_exponential.c,tcc,.006903729
program_6_linear.c,gcc,.044715274
program_6_linear.c,clang,.081976159
program_6_linear.c,tcc,.006135878
program_7_linear.c,gcc,.041178869
program_7_linear.c,clang,.075352387
program_7_linear.c,tcc,.005628481
program_7_quadratic.c,gcc,.037345678
program_7_quadratic.c,clang,.070487385
program_7_quadratic.c,tcc,.005801068
program_8_constant.c,gcc,.035642266
program_8_constant.c,clang,.069686458
program_8_constant.c,tcc,.005578444
program_8_exponential.c,gcc,.035943047
program_8_exponential.c,clang,.069119764
program_8_exponential.c,tcc,.005371646
program_8_linear.c,gcc,.036913717
program_8_linear.c,clang,.075685444
program_8_linear.c,tcc,.005327560
program_9_constant.c,gcc,.036040093
program_9_constant.c,clang,.068905538
program_9_constant.c,tcc,.005255871
program_9_linear.c,gcc,.035614219
program_9_linear.c,clang,.070485873
program_9_linear.c,tcc,.005116474
program_9_quadratic.c,gcc,.038148556
program_9_quadratic.c,clang,.070092547
program_9_quadratic.c,tcc,.005370767
